,title,author,content
0,Procura-se um amigo,Vinicius de Moraes,"Não precisa ser homem, basta ser humano, basta ter sentimentos, basta ter coração. Precisa saber falar e calar, sobretudo saber ouvir. Tem que gostar de poesia, de madrugada, de pássaro, de sol, da lua, do canto, dos ventos e das canções da brisa. Deve ter amor, um grande amor por alguém, ou então sentir falta de não ter esse amor.. Deve amar o próximo e respeitar a dor que os passantes levam consigo. Deve guardar segredo sem se sacrificar.

     Não é preciso que seja de primeira mão, nem é imprescindível que seja de segunda mão. Pode já ter sido enganado, pois todos os amigos são enganados. Não é preciso que seja puro, nem que seja todo impuro, mas não deve ser vulgar. Deve ter um ideal e medo de perdê-lo e, no caso de assim não ser, deve sentir o grande vácuo que isso deixa. Tem que ter ressonâncias humanas, seu principal objetivo deve ser o de amigo. Deve sentir pena das pessoa tristes e compreender o imenso vazio dos solitários. Deve gostar de crianças e lastimar as que não puderam nascer.

     Procura-se um amigo para gostar dos mesmos gostos, que se comova, quando chamado de amigo. Que saiba conversar de coisas simples, de orvalhos, de grandes chuvas e das recordações de infância. Precisa-se de um amigo para não se enlouquecer, para contar o que se viu de belo e triste durante o dia, dos anseios e das realizações, dos sonhos e da realidade. Deve gostar de ruas desertas, de poças de água e de caminhos molhados, de beira de estrada, de mato depois da chuva, de se deitar no capim.

     Precisa-se de um amigo que diga que vale a pena viver, não porque a vida é bela, mas porque já se tem um amigo. Precisa-se de um amigo para se parar de chorar. Para não se viver debruçado no passado em busca de memórias perdidas. Que nos bata nos ombros sorrindo ou chorando, mas que nos chame de amigo, para ter-se a consciência de que ainda se vive."
1,Eu sei e você sabe,Vinicius de Moraes,"Eu sei e você sabe
Já que a vida quis assim
Que nada nesse mundo levará você de mim
Eu sei e você sabe
Que a distância não existe
Que todo grande amor
Só é bem grande se for triste
Por isso meu amor
Não tenha medo de sofrer
Que todos os caminhos
Me encaminham a você.

Assim como o Oceano, só é belo com o luar
Assim como a Canção, só tem razão se se cantar
Assim como uma nuvem, só acontece se chover
Assim como o poeta, só é bem grande se sofrer
Assim como viver sem ter amor, não é viver
Não há você sem mim
E eu não existo sem você!"
2,Terror de Te Amar Num Sítio Tão Frágil Como o Mundo,Sophia de Mello Breyner Andresen,Terror de te amar num sítio tão frágil como o mundoMal de te amar neste lugar de imperfeiçãoOnde tudo nos quebra e emudeceOnde tudo nos mente e nos separa.
3,Porque,Sophia de Mello Breyner Andresen,Porque os outros se mascaram mas tu nãoPorque os outros usam a virtudePara comprar o que não tem perdão.Porque os outros têm medo mas tu não.Porque os outros são os túmulos caiadosOnde germina calada a podridão.Porque os outros se calam mas tu não.Porque os outros se compram e se vendemE os seus gestos dão sempre dividendo.Porque os outros são hábeis mas tu não.Porque os outros vão à sombra dos abrigosE tu vais de mãos dadas com os perigos.Porque os outros calculam mas tu não.
4,É urgente o amor,Eugénio de Andrade,"É urgente o amor.
É urgente um barco no mar.

É urgente destruir certas palavras,
ódio, solidão e crueldade,
alguns lamentos,
muitas espadas.

É urgente inventar alegria,
multiplicar os beijos, as searas,
é urgente descobrir rosas e rios
e manhãs claras.

Cai o silêncio nos ombros e a luz
impura, até doer.
É urgente o amor, é urgente
permanecer."
5,Retrato,Cecília Meireles,"Eu não tinha este rosto de hoje,
Assim calmo, assim triste, assim magro,
Nem estes olhos tão vazios,
Nem o lábio amargo.

Eu não tinha estas mãos sem força,
Tão paradas e frias e mortas;
Eu não tinha este coração
Que nem se mostra.

Eu não dei por esta mudança,
Tão simples, tão certa, tão fácil:
- Em que espelho ficou perdida
A minha face?"
6,Pedra Filosofal,António Gedeão,"Eles não sabem que o sonho
é uma constante da vida
tão concreta e definida
como outra coisa qualquer,
como esta pedra cinzenta
em que me sento e descanso,
como este ribeiro manso
em serenos sobressaltos,
como estes pinheiros altos
que em verde e oiro se agitam,
como estas aves que gritam
em bebedeiras de azul.

Eles não sabem que o sonho
é vinho, é espuma, é fermento,
bichinho álacre e sedento,
de focinho pontiagudo,
que fossa através de tudo
num perpétuo movimento.

Eles não sabem que o sonho
é tela, é cor, é pincel,
base, fuste, capitel,
arco em ogiva, vitral,
pináculo de catedral,
contraponto, sinfonia,
máscara grega, magia,
que é retorta de alquimista,
mapa do mundo distante,
rosa-dos-ventos, Infante,
caravela quinhentista,
que é Cabo da Boa Esperança,
ouro, canela, marfim,
florete de espadachim,
bastidor, passo de dança,
Colombina e Arlequim,
passarola voadora,
pára-raios, locomotiva,
barco de proa festiva,
alto-forno, geradora,
cisão do átomo, radar,
ultra-som, televisão,
desembarque em foguetão
na superfície lunar.

Eles não sabem, nem sonham,
que o sonho comanda a vida.
Que sempre que um homem sonha
o mundo pula e avança
como bola colorida
entre as mãos de uma criança."
7,Desejo primeiro,Sérgio Jockyman,"Desejo primeiro que você ame,
E que amando, também seja amado.
E que se não for, seja breve em esquecer.
E que esquecendo, não guarde mágoa.
Desejo, pois, que não seja assim,
Mas se for, saiba ser sem desesperar.
Desejo também que tenha amigos,
Que mesmo maus e inconseqüentes,
Sejam corajosos e fiéis,
E que pelo menos num deles
Você possa confiar sem duvidar.
E porque a vida é assim,
Desejo ainda que você tenha inimigos.
Nem muitos, nem poucos,
Mas na medida exata para que, algumas vezes,
Você se interpele a respeito
De suas próprias certezas.
E que entre eles, haja pelo menos um que seja justo,
Para que você não se sinta demasiado seguro.
Desejo depois que você seja útil,
Mas não insubstituível.
E que nos maus momentos,
Quando não restar mais nada,
Essa utilidade seja suficiente para manter você de pé.
Desejo ainda que você seja tolerante,
Não com os que erram pouco, porque isso é fácil,
Mas com os que erram muito e irremediavelmente,
E que fazendo bom uso dessa tolerância,
Você sirva de exemplo aos outros.
Desejo que você, sendo jovem,
Não amadureça depressa demais,
E que sendo maduro, não insista em rejuvenescer
E que sendo velho, não se dedique ao desespero.
Porque cada idade tem o seu prazer e a sua dor e
É preciso deixar que eles escorram por entre nós.
Desejo por sinal que você seja triste,
Não o ano todo, mas apenas um dia.
Mas que nesse dia descubra
Que o riso diário é bom,
O riso habitual é insosso e o riso constante é insano.
Desejo que você descubra ,
Com o máximo de urgência,
Acima e a respeito de tudo, que existem oprimidos,
Injustiçados e infelizes, e que estão à sua volta.
Desejo ainda que você afague um gato,
Alimente um cuco e ouça o joão-de-barro
Erguer triunfante o seu canto matinal
Porque, assim, você sesentirá bem por nada.
Desejo também que você plante uma semente,
Por mais minúscula que seja,
E acompanhe o seu crescimento,
Para que você saiba de quantas
Muitas vidas é feita uma árvore.
Desejo, outrossim, que você tenha dinheiro,
Porque é preciso ser prático.
Eque pelo menos uma vez por ano
Coloque um pouco dele
Na sua frente e diga `Isso é meu`,
Só para que fique bem claro quem é o dono dequem.
Desejo também que nenhum de seus afetos morra,
Por ele e por você,
Mas que se morrer, você possa chorar
Sem se lamentar esofrer sem se culpar.
Desejo por fim que você sendo homem,
Tenha uma boa mulher,
E que sendo mulher,
Tenha um bom homem
Eque se amem hoje, amanhã e nos dias seguintes,
E quando estiverem exaustos e sorridentes,
Ainda haja amor para recomeçar.
E se tudo isso acontecer,
Não tenho mais nada a te desejar."
8,Ser Poeta,Florbela Espanca,"Ser Poeta é ser mais alto, é ser maiorDo que os homens! Morder como quem beija!É ser mendigo e dar como quem sejaRei do Reino de Aquém e de Além Dor!<É ter de mil desejos o esplendorE não saber sequer que se deseja!É ter cá dentro um astro que flameja,É ter garras e asas de condor!<É ter fome, é ter sede de Infinito!Por elmo, as manhãs de oiro e de cetim...É condensar o mundo num só grito!É seres alma e sangue e vida em mimE dizê-lo cantando a toda gente!"
9,Cântico Negro,José Régio,"""Vem por aqui"" - dizem-me alguns com os olhos doces 
Estendendo-me os braços, e seguros 
De que seria bom que eu os ouvisse 
Quando me dizem: ""vem por aqui!"" 
Eu olho-os com olhos lassos, 
(Há, nos olhos meus, ironias e cansaços) 
E cruzo os braços, 
E nunca vou por ali... 

A minha glória é esta: 
Criar desumanidade! 
Não acompanhar ninguém. 
- Que eu vivo com o mesmo sem-vontade 
Com que rasguei o ventre à minha mãe 

Não, não vou por aí! Só vou por onde 
Me levam meus próprios passos... 

Se ao que busco saber nenhum de vós responde 
Por que me repetis: ""vem por aqui!""? 

Prefiro escorregar nos becos lamacentos, 
Redemoinhar aos ventos, 
Como farrapos, arrastar os pés sangrentos, 
A ir por aí... 

Se vim ao mundo, foi 
Só para desflorar florestas virgens, 
E desenhar meus próprios pés na areia inexplorada! 
O mais que faço não vale nada. 

Como, pois sereis vós 
Que me dareis impulsos, ferramentas e coragem 
Para eu derrubar os meus obstáculos?... 
Corre, nas vossas veias, sangue velho dos avós, 
E vós amais o que é fácil! 
Eu amo o Longe e a Miragem, 
Amo os abismos, as torrentes, os desertos... 

Ide! Tendes estradas, 
Tendes jardins, tendes canteiros, 
Tendes pátria, tendes tectos, 
E tendes regras, e tratados, e filósofos, e sábios... 
Eu tenho a minha Loucura ! 
Levanto-a, como um facho, a arder na noite escura, 
E sinto espuma, e sangue, e cânticos nos lábios... 

Deus e o Diabo é que guiam, mais ninguém. 
Todos tiveram pai, todos tiveram mãe; 
Mas eu, que nunca principio nem acabo, 
Nasci do amor que há entre Deus e o Diabo. 

Ah, que ninguém me dê piedosas intenções! 
Ninguém me peça definições! 
Ninguém me diga: ""vem por aqui""! 
A minha vida é um vendaval que se soltou. 
É uma onda que se alevantou. 
É um átomo a mais que se animou... 
Não sei por onde vou, 
Não sei para onde vou 
- Sei que não vou por aí!"
